Unnamed: 0,nframe_71212104600,absframe_71212104600,x0_71212104600,y0_71212104600,area_71212104600,yadj_71212104600,flower_71212104600,visit_num_71212104600,sx_71212104600,sy_71212104600,speeds_71212104600
320,320,73618,1038.0,928.0,1146.0,928.0,4.0,1.0,1036.3333333333333,930.3333333333334,1.9436506316151647
321,321,73619,1038.0,927.0,1305.0,927.0,4.0,1.0,1038.0,929.3333333333334,2.0275875100993943
322,322,73620,1037.0,927.0,1378.0,927.0,4.0,1.0,1037.6666666666667,927.3333333333334,0.3333333333333712
323,323,73621,1038.0,927.0,1316.0,927.0,4.0,1.0,1037.6666666666667,927.0,1.054092553389436
324,324,73622,1039.0,924.0,1264.0,924.0,4.0,1.0,1038.0,926.0,0.9428090415820902
325,325,73623,1039.0,929.0,1175.0,929.0,4.0,1.0,1038.6666666666667,926.6666666666666,0.7453559924999638
326,326,73624,1039.0,929.0,1169.0,929.0,4.0,1.0,1039.0,927.3333333333334,0.0
327,327,73625,1039.0,924.0,1189.0,924.0,4.0,1.0,1039.0,927.3333333333334,2.0
328,328,73626,1039.0,923.0,1160.0,923.0,4.0,1.0,1039.0,925.3333333333334,1.6666666666667425
329,329,73627,1039.0,924.0,1080.0,924.0,4.0,1.0,1039.0,923.6666666666666,0.4714045207910048
330,330,73628,1038.0,925.0,1110.0,925.0,4.0,1.0,1038.6666666666667,924.0,1.6666666666666288
331,331,73629,1039.0,928.0,1134.0,928.0,4.0,1.0,1038.6666666666667,925.6666666666666,1.4907119849999275
332,332,73630,1037.0,928.0,1278.0,928.0,4.0,1.0,1038.0,927.0,2.23606797749979
333,333,73631,1035.0,931.0,1480.0,931.0,4.0,1.0,1037.0,929.0,1.3333333333333712
334,334,73632,1039.0,932.0,965.0,932.0,4.0,1.0,1037.0,930.3333333333334,1.943650631615068
335,335,73633,1040.0,933.0,767.0,933.0,4.0,1.0,1038.0,932.0,2.867441755680792
336,336,73634,1042.0,936.0,529.0,936.0,4.0,1.0,1040.3333333333333,933.6666666666666,2.687419249432944
337,337,73635,1040.0,940.0,470.0,940.0,4.0,1.0,1040.6666666666667,936.3333333333334,4.853406592853731
338,338,73636,1026.0,937.0,1423.0,937.0,4.0,1.0,1036.0,937.6666666666666,8.749603165604409
339,339,73637,1017.0,944.0,1885.0,944.0,4.0,1.0,1027.6666666666667,940.3333333333334,12.684198393627044
340,340,73638,1002.0,938.0,847.0,938.0,4.0,1.0,1015.0,939.6666666666666,11.836853936376428
341,341,73639,996.0,918.0,2180.0,918.0,4.0,1.0,1005.0,933.3333333333334,19.33333333333336
342,342,73640,977.0,902.0,1146.0,902.0,3.0,2.0,991.6666666666666,919.3333333333334,23.11805451253292
343,343,73641,973.0,875.0,1447.0,875.0,3.0,2.0,982.0,898.3333333333334,27.840817357094878
344,344,73642,972.0,838.0,2570.0,838.0,3.0,2.0,974.0,871.6666666666666,37.42845026031512
345,345,73643,969.0,790.0,1488.0,790.0,3.0,2.0,971.3333333333334,834.3333333333334,40.00138886477707
346,346,73644,972.0,755.0,1082.0,755.0,3.0,2.0,971.0,794.3333333333334,42.38055109494343
347,347,73645,989.0,712.0,1737.0,712.0,,,976.6666666666666,752.3333333333334,45.37742953397777
348,348,73646,993.0,656.0,1786.0,656.0,,,984.6666666666666,707.6666666666666,46.98108366377064
349,349,73647,1009.0,619.0,826.0,619.0,,,997.0,662.3333333333334,46.61425628376899
350,350,73648,1029.0,578.0,788.0,578.0,,,1010.3333333333334,617.6666666666666,40.1012607172282
351,351,73649,1046.0,548.0,1503.0,548.0,,,1028.0,581.6666666666666,43.900139205043686
352,352,73650,1061.0,498.0,1987.0,498.0,,,1045.3333333333333,541.3333333333334,37.58989225842505
353,353,73651,1083.0,479.0,1445.0,479.0,,,1063.3333333333333,508.3333333333333,34.801021696368544
354,354,73652,1108.0,464.0,1705.0,464.0,,,1084.0,480.3333333333333,34.02286812653452
355,355,73653,1138.0,431.0,1280.0,431.0,,,1109.6666666666667,458.0,36.545253529775216
356,356,73654,1169.0,411.0,2464.0,411.0,,,1138.3333333333333,435.3333333333333,41.01219330881976
